流水號,攝影機編號,WGSX,WGSY,攝影機路徑,攝影機數字編號
73,074-信義松德,121.5741417,25.03311944,https://cctv.bote.gov.taipei:8502/jpg/074,074
74,075-信義松仁,121.568184,25.032612,https://cctv.bote.gov.taipei:8502/jpg/075,075
75,076-新生高圓山,121.5256463,25.07434992,https://cctv.bote.gov.taipei:8502/jpg/076,076
76,077-環河快詔安街,121.514607,25.02400181,https://cctv.bote.gov.taipei:8502/jpg/077,077
77,078-環河快泉州街,121.5121763,25.02408073,https://cctv.bote.gov.taipei:8502/jpg/078,078
78,079-復興辛亥,121.543298,25.021568,https://cctv.bote.gov.taipei:8502/jpg/079,079
79,080-環河快貴陽匝道,121.49559,25.03858,https://cctv.bote.gov.taipei:8502/jpg/080,080
80,081-環河快萬板大橋,121.4882854,25.03043655,https://cctv.bote.gov.taipei:8502/jpg/081,081
81,082-環河快華翠大橋,121.4891298,25.0275276,https://cctv.bote.gov.taipei:8502/jpg/082,082
82,083-環河快青年路口,121.5042989,25.01985106,https://cctv.bote.gov.taipei:8502/jpg/083,083
83,084-水源快溪州街口,121.5342047,25.00594153,https://cctv.bote.gov.taipei:8502/jpg/084,084
84,085-水源快景美出口匝道,121.535638,24.997855,https://cctv.bote.gov.taipei:8502/jpg/085,085
85,086-水源快景美入口匝道,121.5352933,25.0000574,https://cctv.bote.gov.taipei:8502/jpg/086,086
86,087-基隆快樂業街口,121.5502051,25.02227099,https://cctv.bote.gov.taipei:8502/jpg/087,087
87,088-基隆快敦化南路,121.5486272,25.02105815,https://cctv.bote.gov.taipei:8502/jpg/088,088
88,089-基隆快辛亥出口匝道,121.54171,25.01487,https://cctv.bote.gov.taipei:8502/jpg/089,089
89,090-建國快松江,121.53398,25.06733,https://cctv.bote.gov.taipei:8502/jpg/090,090
90,091-中山北安,121.5267972,25.07595899,https://cctv.bote.gov.taipei:8502/jpg/091,091
91,092-復北隧道南口-民族復興,121.5443686,25.06658579,https://cctv.bote.gov.taipei:8502/jpg/092,092
92,093-復北隧道北向0K+500M,121.54436,25.06731,https://cctv.bote.gov.taipei:8502/jpg/093,093
93,094-復北隧道北向0K+623M,121.544434,25.069681,https://cctv.bote.gov.taipei:8502/jpg/094,094
94,095-復北隧道北向0K+750M,121.54432,25.06955,https://cctv.bote.gov.taipei:8502/jpg/095,095
95,096-復北隧道北向0K+876M,121.54431,25.07061,https://cctv.bote.gov.taipei:8502/jpg/096,096
96,097-復北隧道北口-濱江大直橋,121.54417,25.07197,https://cctv.bote.gov.taipei:8502/jpg/097,097
97,098-復北隧道南向0K+955M,121.54426,25.07127,https://cctv.bote.gov.taipei:8502/jpg/098,098
98,099-復北隧道南向0K+830M,121.54425,25.07019,https://cctv.bote.gov.taipei:8502/jpg/099,099
99,100-復北隧道南向0K+705M,121.54423,25.06915,https://cctv.bote.gov.taipei:8502/jpg/100,100
100,101-復北隧道南向0K+580M,121.54425,25.06803,https://cctv.bote.gov.taipei:8502/jpg/101,101
101,102-東湖隧道北向0K+295M,121.60913,25.08091,https://cctv.bote.gov.taipei:8502/jpg/102,102
102,103-東湖隧道南向0K+593M,121.61074,25.07939,https://cctv.bote.gov.taipei:8502/jpg/103,103
103,104-東湖隧道南向0K+770M,121.61263,25.07823,https://cctv.bote.gov.taipei:8502/jpg/104,104
104,105-東湖隧道北向1K+115M,121.61605,25.07838,https://cctv.bote.gov.taipei:8502/jpg/105,105
105,106-東湖隧道南向1K+245M,121.61745,25.07861,https://cctv.bote.gov.taipei:8502/jpg/106,106
106,107-東湖隧道北向1K+500M,121.61963,25.07963,https://cctv.bote.gov.taipei:8502/jpg/107,107
107,108-東湖隧道北向1K+777M,121.62226,25.07864,https://cctv.bote.gov.taipei:8502/jpg/108,108
108,109-內湖環山,121.565307,25.082148,https://cctv.bote.gov.taipei:8502/jpg/109,109
109,110-堤頂樂群一,121.57003,25.07732,https://cctv.bote.gov.taipei:8502/jpg/110,110
110,111-堤頂基湖(東南角),121.564125,25.078604,https://cctv.bote.gov.taipei:8502/jpg/111,111
111,112-堤頂基湖(西南角),121.563957,25.078972,https://cctv.bote.gov.taipei:8502/jpg/112,112
112,113-瑞光港墘(台北登峰),121.574814,25.076233,https://cctv.bote.gov.taipei:8502/jpg/113,113
113,114-港墘路220號(遠傳港墘大樓),121.57355,25.07532,https://cctv.bote.gov.taipei:8502/jpg/114,114
114,115-舊宗路2段181巷口,121.574409,25.071665,https://cctv.bote.gov.taipei:8502/jpg/115,115
115,117- 舊宗路2段與民權東路6段11巷25弄口,121.574753,25.067524,https://cctv.bote.gov.taipei:8502/jpg/117,117
116,119-民權舊宗路口,121.5752,25.06558,https://cctv.bote.gov.taipei:8502/jpg/119,119
117,120-民權東路6段與堤頂大道1段路口號誌桿,121.572258,25.06488,https://cctv.bote.gov.taipei:8502/jpg/120,120
118,121-木柵路1段與木柵路1段76巷口號誌桿,121.550159,24.98746,https://cctv.bote.gov.taipei:8502/jpg/121,121
119,122-新明路成美橋,121.5822339,25.05563424,https://cctv.bote.gov.taipei:8502/jpg/122,122
120,124-康寧東湖,121.612182,25.068992,https://cctv.bote.gov.taipei:8502/jpg/124,124
121,125-二殯西北角(辛亥路三段330號),121.5530827,25.01374605,https://cctv.bote.gov.taipei:8502/jpg/125,125
122,126-芳蘭路-基隆路三段155巷176弄,121.5469487,25.01430573,https://cctv.bote.gov.taipei:8502/jpg/126,126
123,127-辛亥路-芳蘭路(門架上),121.5490423,25.01694323,https://cctv.bote.gov.taipei:8502/jpg/127,127
124,128-信義松智東南角,121.565483,25.032854,https://cctv.bote.gov.taipei:8502/jpg/128,128
125,129-忠孝光復,121.557732,25.041399,https://cctv.bote.gov.taipei:8502/jpg/129,129
126,130-忠孝基隆,121.56469,25.041418,https://cctv.bote.gov.taipei:8502/jpg/130,130
127,131-忠孝松山,121.578094,25.040913,https://cctv.bote.gov.taipei:8502/jpg/131,131
128,132-仁愛光復,121.557777,25.037724,https://cctv.bote.gov.taipei:8502/jpg/132,132
129,133-松高松智,121.565567,25.039202,https://cctv.bote.gov.taipei:8502/jpg/133,133
130,134-松仁松壽,121.568314,25.03578,https://cctv.bote.gov.taipei:8502/jpg/134,134
131,135-基隆信義,121.559769,25.033039,https://cctv.bote.gov.taipei:8502/jpg/135,135
132,136-基隆光復,121.559769,25.033039,https://cctv.bote.gov.taipei:8502/jpg/136,136
133,137-市府西南(松壽市府),121.563805,25.036091,https://cctv.bote.gov.taipei:8502/jpg/137,137
134,138-市府東南(松壽松智),121.565224,25.036072,https://cctv.bote.gov.taipei:8502/jpg/138,138
135,139-市府東北(松高松智),121.565269,25.038872,https://cctv.bote.gov.taipei:8502/jpg/139,139
136,140-市府西北(松高市府),121.563782,25.038948,https://cctv.bote.gov.taipei:8502/jpg/140,140
137,141-北安明水(近大直橋),121.551575,25.085754,https://cctv.bote.gov.taipei:8502/jpg/141,141
138,142-北安明水(近自強隧道),121.552841,25.085871,https://cctv.bote.gov.taipei:8502/jpg/142,142
139,143-內湖堤頂(西側),121.56076,25.0842,https://cctv.bote.gov.taipei:8502/jpg/143,143
140,145-內湖港墘,121.576591,25.079613,https://cctv.bote.gov.taipei:8502/jpg/145,145
141,146-成功文德,121.589599,25.079314,https://cctv.bote.gov.taipei:8502/jpg/146,146
142,147-明水樂群一路,121.550697,25.077282,https://cctv.bote.gov.taipei:8502/jpg/147,147
143,148-敬業三路樂群二路,121.556145,25.079866,https://cctv.bote.gov.taipei:8502/jpg/148,148
144,149-瑞光路478巷口,121.569426,25.078963,https://cctv.bote.gov.taipei:8502/jpg/149,149
145,150-瑞光陽光(瑞光社宅),121.579063,25.073568,https://cctv.bote.gov.taipei:8502/jpg/150,150
146,151-堤頂大道樂群一路,121.56855,25.077263,https://cctv.bote.gov.taipei:8502/jpg/151,151
147,152-堤頂大道1段與港墘路口往北,121.5724,25.07461,https://cctv.bote.gov.taipei:8502/jpg/152,152
148,153-民權行愛,121.578331,25.066748,https://cctv.bote.gov.taipei:8502/jpg/153,153
149,154-民權瑞光,121.583979,25.068633,https://cctv.bote.gov.taipei:8502/jpg/154,154
150,155-民權成功,121.590592,25.069049,https://cctv.bote.gov.taipei:8502/jpg/155,155
151,156-舊宗新湖二路,121.578247,25.06175,https://cctv.bote.gov.taipei:8502/jpg/156,156
152,157-中山劍潭(東側),121.525623,25.084018,https://cctv.bote.gov.taipei:8502/jpg/157,157
153,158-延平民權(進城),121.511231,25.063051,https://cctv.bote.gov.taipei:8502/jpg/158,158
154,159-延平民權(出城),121.51126,25.062825,https://cctv.bote.gov.taipei:8502/jpg/159,159
155,160-民權承德(西側),121.518059,25.062883,https://cctv.bote.gov.taipei:8502/jpg/160,160
156,161-民權承德(東側),121.51798,25.062911,https://cctv.bote.gov.taipei:8502/jpg/161,161
157,162-市民重慶(東側),121.513364,25.049276,https://cctv.bote.gov.taipei:8502/jpg/162,162
158,163-市民承德(南側),121.516345,25.048769,https://cctv.bote.gov.taipei:8502/jpg/163,163
159,164-市民承德(西側),121.516423,25.048552,https://cctv.bote.gov.taipei:8502/jpg/164,164
160,165-市民中山(西南角),121.520593,25.047942,https://cctv.bote.gov.taipei:8502/jpg/165,165
161,166-市民中山(西北角),121.520594,25.048132,https://cctv.bote.gov.taipei:8502/jpg/166,166
162,167-重慶愛國(西側),121.512255,25.035305,https://cctv.bote.gov.taipei:8502/jpg/167,167
163,168-師大汀州(南側),121.525374,25.020886,https://cctv.bote.gov.taipei:8502/jpg/168,168
164,169-基隆路3段156巷,121.54248,25.01591,https://cctv.bote.gov.taipei:8502/jpg/169,169
165,171-羅斯福路3段244巷口(台電大樓),121.531481,25.017381,https://cctv.bote.gov.taipei:8502/jpg/171,171
166,172-基隆羅斯(東南角),121.537289,25.010831,https://cctv.bote.gov.taipei:8502/jpg/172,172
167,173-仁愛敦化(北側),121.548706,25.038298,https://cctv.bote.gov.taipei:8502/jpg/173,173
168,174-仁愛敦化(西側),121.548228,25.037939,https://cctv.bote.gov.taipei:8502/jpg/174,174
169,175-仁愛敦化(東側),121.549397,25.037853,https://cctv.bote.gov.taipei:8502/jpg/175,175
170,176-仁愛敦化(南側),121.548781,25.037332,https://cctv.bote.gov.taipei:8502/jpg/176,176
171,177-基隆路北往南主車道1(基隆忠孝),121.564394,25.041319,https://cctv.bote.gov.taipei:8502/jpg/177,177
172,178-基隆路北往南主車道2(基隆忠孝),121.5642727,25.04104561,https://cctv.bote.gov.taipei:8502/jpg/178,178
173,179-基隆路北往南主車道3(基隆忠孝),121.564265,25.041097,https://cctv.bote.gov.taipei:8502/jpg/179,179
174,180-基隆路北往南主車道4(基隆松高),121.563682,25.039173,https://cctv.bote.gov.taipei:8502/jpg/180,180
175,181-基隆路北往南主車道5(基隆松高),121.563516,25.039187,https://cctv.bote.gov.taipei:8502/jpg/181,181
176,182-基隆路北往南主車道6(基隆松壽),121.561488,25.035936,https://cctv.bote.gov.taipei:8502/jpg/182,182
177,183-基隆路北往南主車道7(基隆松壽),121.561413,25.035858,https://cctv.bote.gov.taipei:8502/jpg/183,183
178,184-基隆路北往南主車道8(基隆松壽),121.561338,25.035722,https://cctv.bote.gov.taipei:8502/jpg/184,184
179,185-基隆路南往北主車道1(基隆松壽),121.561193,25.035916,https://cctv.bote.gov.taipei:8502/jpg/185,185
180,186-基隆路南往北主車道2(基隆松壽),121.561134,25.035824,https://cctv.bote.gov.taipei:8502/jpg/186,186
181,187-基隆路南往北主車道3(基隆松壽),121.561091,25.035761,https://cctv.bote.gov.taipei:8502/jpg/187,187
182,188-基隆路南往北主車道4(基隆松高),121.563565,25.039156,https://cctv.bote.gov.taipei:8502/jpg/188,188
183,189-基隆路南往北主車道5(基隆松高),121.563624,25.039163,https://cctv.bote.gov.taipei:8502/jpg/189,189
184,190-基隆路南往北主車道6(基隆忠孝),121.564648,25.041292,https://cctv.bote.gov.taipei:8502/jpg/190,190
185,191-基隆路南往北主車道7(基隆忠孝),121.564589,25.041209,https://cctv.bote.gov.taipei:8502/jpg/191,191
186,192-基隆路南往北主車道8(基隆忠孝),121.564541,25.041112,https://cctv.bote.gov.taipei:8502/jpg/192,192
187,193-基隆路北往南混合車道1(基隆松高),121.563712,25.039233,https://cctv.bote.gov.taipei:8502/jpg/193,193
188,194-基隆路北往南混合車道2(基隆松高),121.563696,25.039182,https://cctv.bote.gov.taipei:8502/jpg/194,194
189,195-基隆路北往南混合車道3(基隆松壽),121.561268,25.03562,https://cctv.bote.gov.taipei:8502/jpg/195,195
190,196-基隆路北往南混合車道4(基隆松壽),121.56122,25.035537,https://cctv.bote.gov.taipei:8502/jpg/196,196
191,197-基隆路南往北混合車道1(基隆松壽),121.561059,25.035693,https://cctv.bote.gov.taipei:8502/jpg/197,197
192,198-基隆路南往北混合車道2(基隆松壽),121.561016,25.035596,https://cctv.bote.gov.taipei:8502/jpg/198,198
193,199-基隆路南往北混合車道3(基隆松高),121.563648,25.039314,https://cctv.bote.gov.taipei:8502/jpg/199,199
194,200-基隆路南往北混合車道4(基隆忠孝),121.564369,25.041272,https://cctv.bote.gov.taipei:8502/jpg/200,200
195,201-自強隧道往故宮入口0K+16M,121.549568,25.087173,https://cctv.bote.gov.taipei:8502/jpg/201,201
196,202-自強隧道往故宮入口0K+240M,121.549301,25.090467,https://cctv.bote.gov.taipei:8502/jpg/202,202
197,203-自強隧道往故宮入口0K+474M,121.548965,25.093479,https://cctv.bote.gov.taipei:8502/jpg/203,203
198,204-自強隧道往大直入口0K+20M,121.548508,25.09413,https://cctv.bote.gov.taipei:8502/jpg/204,204
199,205-自強隧道往大直入口0K+326M,121.548637,25.0924,https://cctv.bote.gov.taipei:8502/jpg/205,205
200,206-自強隧道往大直入口0K+553M,121.548805,25.089815,https://cctv.bote.gov.taipei:8502/jpg/206,206
201,207-辛亥隧道往木柵入口0K+7M,121.554367,25.012644,https://cctv.bote.gov.taipei:8502/jpg/207,207
202,208-辛亥隧道往木柵入口0K+179M,121.555557,25.011465,https://cctv.bote.gov.taipei:8502/jpg/208,208
203,209-辛亥隧道往木柵入口0K+331M,121.557091,25.00993,https://cctv.bote.gov.taipei:8502/jpg/209,209
204,210-辛亥隧道往市區入口0K+7M,121.557335,25.010065,https://cctv.bote.gov.taipei:8502/jpg/210,210
205,211-辛亥隧道往市區入口0K+160M,121.555817,25.011669,https://cctv.bote.gov.taipei:8502/jpg/211,211
206,212-辛亥隧道往市區入口0K+355M,121.554642,25.012848,https://cctv.bote.gov.taipei:8502/jpg/212,212
207,215-經貿二路105巷口,121.6165,25.058111,https://cctv.bote.gov.taipei:8502/jpg/215,215
208,216-南港路經貿一路,121.618722,25.05475,https://cctv.bote.gov.taipei:8502/jpg/216,216
209,217-南港路興中路,121.607389,25.054444,https://cctv.bote.gov.taipei:8502/jpg/217,217
210,218-經貿一路環東大道槽化島,121.617083,25.062694,https://cctv.bote.gov.taipei:8502/jpg/218,218
211,219-環東大道經貿二路出口匝道綠帶,121.612889,25.062778,https://cctv.bote.gov.taipei:8502/jpg/219,219
212,220-忠孝東研究院路(車行往北),121.616226,25.053165,https://cctv.bote.gov.taipei:8502/jpg/220,220
213,221-龍門大樓頂樓,121.5108646,25.05041733,https://cctv.bote.gov.taipei:8502/jpg/221,221
214,222-向陽重陽,121.594667,25.054722,https://cctv.bote.gov.taipei:8502/jpg/222,222
215,223-新生高圓山橋,121.525806,25.073722,https://cctv.bote.gov.taipei:8502/jpg/223,223
216,224-新生高民族,121.527885,25.068029,https://cctv.bote.gov.taipei:8502/jpg/224,224
217,225-新生高民權,121.527528,25.062639,https://cctv.bote.gov.taipei:8502/jpg/225,225
218,226-新生高民生,121.526944,25.057806,https://cctv.bote.gov.taipei:8502/jpg/226,226
219,227-新生高南京,121.528056,25.052361,https://cctv.bote.gov.taipei:8502/jpg/227,227
220,228-新生高長安,121.529806,25.048222,https://cctv.bote.gov.taipei:8502/jpg/228,228
221,229-新生高忠孝,121.529972,25.043,https://cctv.bote.gov.taipei:8502/jpg/229,229
222,231-中山北路6段-福國路口,121.525246,25.102564,https://cctv.bote.gov.taipei:8502/jpg/231,231
223,232-中山北路-通河街口,121.524197,25.079989,https://cctv.bote.gov.taipei:8502/jpg/232,232
224,233-中山北路3段-民權東西路口,121.522486,25.063017,https://cctv.bote.gov.taipei:8502/jpg/233,233
225,234-至善路-福林路口,121.536636,25.099347,https://cctv.bote.gov.taipei:8502/jpg/234,234
226,235-福林路-雨農路-中正路口,121.532342,25.096714,https://cctv.bote.gov.taipei:8502/jpg/235,235
227,236-故宮路-至善路口,121.546461,25.098308,https://cctv.bote.gov.taipei:8502/jpg/236,236
228,237-北安路595巷口,121.548803,25.082,https://cctv.bote.gov.taipei:8502/jpg/237,237
229,238-濱江街-大直橋路口,121.544492,25.072428,https://cctv.bote.gov.taipei:8502/jpg/238,238
230,239- 濱江街150巷口,121.536664,25.072575,https://cctv.bote.gov.taipei:8502/jpg/239,239
231,240-濱江街大佳國小大門右側(號誌桿),121.535642,25.073139,https://cctv.bote.gov.taipei:8502/jpg/240,240
232,241-民族東路-建國北路口,121.533161,25.068272,https://cctv.bote.gov.taipei:8502/jpg/241,241
233,242-松江路-民權東路口,121.533247,25.062322,https://cctv.bote.gov.taipei:8502/jpg/242,242
234,243-復興北路427巷(往北),121.544333,25.063311,https://cctv.bote.gov.taipei:8502/jpg/243,243
235,244-民族西路-延平北路口,121.510728,25.068689,https://cctv.bote.gov.taipei:8502/jpg/244,244
236,245-復興北路427巷(往南),121.544194,25.063311,https://cctv.bote.gov.taipei:8502/jpg/245,245
237,246-承德-庫倫,121.518578,25.071995,https://cctv.bote.gov.taipei:8502/jpg/246,246
238,247-北安路-大直橋頭,121.54436,25.07981,https://cctv.bote.gov.taipei:8502/jpg/247,247
239,248-北安路-中山北路口,121.52714,25.076508,https://cctv.bote.gov.taipei:8502/jpg/248,248
240,249-中山北路-圓山隧道口,121.5250251,25.0767399,https://cctv.bote.gov.taipei:8502/jpg/249,249
241,250-劍潭路-中山北路口,121.525359,25.084214,https://cctv.bote.gov.taipei:8502/jpg/250,250
242,251-劍潭路-承德路口,121.523626,25.084248,https://cctv.bote.gov.taipei:8502/jpg/251,251
243,252-民族西路承德路口,121.518532,25.068525,https://cctv.bote.gov.taipei:8502/jpg/252,252
244,253-民族西路-中山北路口,121.522778,25.068515,https://cctv.bote.gov.taipei:8502/jpg/253,253
245,255-木柵秀明,121.571077,24.991698,https://cctv.bote.gov.taipei:8502/jpg/255,255
246,256-木柵焚化廠,121.5876847,25.00521658,https://cctv.bote.gov.taipei:8502/jpg/256,256
247,257-忠孝東路-松仁路口,121.5689083,25.04086944,https://cctv.bote.gov.taipei:8502/jpg/257,257
248,258-民生東路-松江路口,121.5329167,25.05791111,https://cctv.bote.gov.taipei:8502/jpg/258,258
249,259-重慶北路-民權西路口,121.5138,25.06315,https://cctv.bote.gov.taipei:8502/jpg/259,259
250,260-重慶南路-和平西路口,121.5159028,25.02747778,https://cctv.bote.gov.taipei:8502/jpg/260,260
251,261-市民高架-西寧北路,121.5081194,25.050425,https://cctv.bote.gov.taipei:8502/jpg/261,261
252,262-忠孝東路-復興南路口,121.543925,25.04149722,https://cctv.bote.gov.taipei:8502/jpg/262,262
253,263-中華路-愛國西路口,121.5070306,25.03729722,https://cctv.bote.gov.taipei:8502/jpg/263,263
254,264-基隆路-和平東路口,121.5525944,25.02440556,https://cctv.bote.gov.taipei:8502/jpg/264,264
255,266-基隆路-八德路口(高架第2層),121.5696,25.04958056,https://cctv.bote.gov.taipei:8502/jpg/266,266
256,267-市民高架道路(往東延吉街上方),121.5524583,25.04440833,https://cctv.bote.gov.taipei:8502/jpg/267,267
257,268-基隆路口-八德路口(高架上層),121.5693889,25.04925,https://cctv.bote.gov.taipei:8502/jpg/268,268
258,269-市民大道-松信路口,121.5722278,25.04945833,https://cctv.bote.gov.taipei:8502/jpg/269,269
259,270-市民大道-松山路口,121.5777056,25.04818333,https://cctv.bote.gov.taipei:8502/jpg/270,270
260,271-市民大道-東新街口,121.5837639,25.049775,https://cctv.bote.gov.taipei:8502/jpg/271,271
261,272-東新街-八德路口,121.5828005,25.05166953,https://cctv.bote.gov.taipei:8502/jpg/272,272
262,273-市民大道與向陽路口,121.5956639,25.05134722,https://cctv.bote.gov.taipei:8502/jpg/273,273
263,274-環河北路與民族西路口燈桿上,121.509109,25.068535,https://cctv.bote.gov.taipei:8502/jpg/274,274
264,275-市民大道-中南街口,121.6152472,25.05426944,https://cctv.bote.gov.taipei:8502/jpg/275,275
265,278-重慶北路與南京西路,121.514403,25.054061,https://cctv.bote.gov.taipei:8502/jpg/278,278
